,about,category,datePublished,description,image,name,provider,url
0,,Business,2019-08-03T10:03:00.0000000Z,While the Middle East is still home to over 50% of the world's crude oil reserves ... the theocracy lashed out. Iran has attacked and even hijacked tankers near the Straits of Hormuz.,,The Downside In Crude Oil Could Be Limited,"[{'_type': 'Organization', 'name': 'Seeking Alpha'}]",https://seekingalpha.com/article/4280894-downside-crude-oil-limited
1,,World,2019-07-22T19:10:00.0000000Z,"The tension between the UK and Iran over the seizures of oil ... in the country with Africa’s largest proven oil reserves to about 1 million barrels, the Opec member’s lowest since February. An oil tanker, Monterey, has been waiting at Zawiya port ...","{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.5FA2D2E9942B8EFDA29251025DB63E4C&pid=News', 'width': 600, 'height': 325}}",Oil price and shares of Big Oil rise as UK-Iran tension simmers over tanker seizures,"[{'_type': 'Organization', 'name': 'Irish Examiner', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_1151c45fd3b2bc9ddb42c82459134b23&pid=news'}}}]",https://www.irishexaminer.com/breakingnews/business/oil-price-and-shares-of-big-oil-rise-as-uk-iran-tension-simmers-over-tanker-seizures-938690.html
2,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/0c3b7b2c-f40e-cba8-3bb6-29450420b38e', 'name': 'NASDAQ'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/0581f529-a659-ac53-5b4d-b31af2c97854', 'name': 'Oil tanker'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/47bee4c3-7910-b8eb-c72c-2853ceefead3', 'name': 'Trade'}]",,2019-07-14T17:20:00.0000000Z,"On Thursday, June 13, 2019 at around 5 AM GMT, the Front Altair oil tanker suffered severe damage as it was passing through the Strait of Hormuz. Investigative reports indicate that the Islamic Republic of Iran ... Crude Oil, Brent Crude Oil and the OPEC ...",,Oil Tanker Attack Reignites Short-Term Trading in Crude Oil,"[{'_type': 'Organization', 'name': 'Nasdaq', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_fefdf3a25667a335662ca70fc37bce11&pid=news'}}}]",https://www.nasdaq.com/article/oil-tanker-attack-reignites-shortterm-trading-in-crude-oil-cm1176081
3,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/573bec17-e6b2-549e-2cb2-1e1d3940c103', 'name': ""Soldiers' National Monument""}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/8b35efb3-b950-75ab-b92f-b74a9a3cec91', 'name': 'Petroleum'}]",,2019-07-18T18:02:00.0000000Z,Yet an admission by Iran that they seized an UAE oil tanker may make talks more difficult ... reported that U.S. commercial crude oil inventories (excluding those in the Strategic Petroleum Reserve) decreased by 3.1 million barrels from the previous ...,,Crude Oil & the Peace Put,"[{'_type': 'Organization', 'name': 'MoneyShow.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_29bfb61074696104b267e2390ada9425&pid=news'}}}]",https://www.moneyshow.com/articles/tradingidea-52028/crude-oil-_and_-the-peace-put/
4,,Business,2019-07-30T18:36:00.0000000Z,Investing.com – Talk of a sharp drop in Iranian oil exports and the likelihood of the first U.S. rate cut in a decade are helping crude ... tanker data. The drop in exports from OPEC-mamber Iran ...,,Oil up Just Ahead of Expected Fed Cut; Iran Exports Slump Helps,"[{'_type': 'Organization', 'name': 'YAHOO! News', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_e1eef5681737e5676d7a09990b13411a&pid=news'}}}]",https://finance.yahoo.com/news/oil-just-ahead-expected-fed-135700501.html
5,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/9a609c4f-f87e-94fa-3e75-1453dd4ffe94', 'name': 'Gulf Oil'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/3369b9ee-97d7-1f7d-04db-796f06bac790', 'name': 'Smuggling'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/502b5268-992d-26c9-a0d8-6f206338406e', 'name': 'Iran'}]",,2019-07-18T14:32:00.0000000Z,"The UK is seeking to de-escalate and offered to facilitate the release of the Iranian oil tanker detained by Gibraltar if Iran gave guarantees that the crude loaded on that vessel wasn’t bound for Syria, the UK’s Foreign Secretary Jeremy Hunt said this ...",,Iran Claims It Seized Foreign Oil Tanker Smuggling Fuel In Gulf,"[{'_type': 'Organization', 'name': 'Crude Oil Prices', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_5d58604e04c5bdf35d6e74b24b0ef6e0&pid=news'}}}]",https://oilprice.com/Energy/Energy-General/Iran-Claims-It-Seized-Foreign-Oil-Tanker-Smuggling-Fuel-In-Gulf.html
6,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/a3ce825b-444a-d683-cfcf-064bf89290ff', 'name': 'Oil'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/9f417f89-9a37-e0d0-912e-99dccfb8982d', 'name': 'Reuters'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/502b5268-992d-26c9-a0d8-6f206338406e', 'name': 'Iran'}]",,2019-06-20T20:00:00.0000000Z,"Expectations that the U.S. Federal Reserve could cut interest rates at its next meeting, stimulating growth in the world’s largest oil-consuming country, and a drop in U.S. crude inventories ... Tehran for the tanker attacks. Iran denied any role.",,"Oil jumps 5% on Iran tension, potential U.S. fed rate cut","[{'_type': 'Organization', 'name': 'Reuters', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_62e71bb461e92ae25d37bed673fc53b9&pid=news'}}}]",https://www.reuters.com/article/us-global-oil-idUSKCN1TL02F
7,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/502b5268-992d-26c9-a0d8-6f206338406e', 'name': 'Iran'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/d0270677-9e09-fed6-0693-0ca81df65388', 'name': 'OPEC'}]",,2019-07-18T16:05:00.0000000Z,"As an example, EIA considers Iranian production declines that result from U.S. sanctions to be unplanned production outages, making Iran a significant contributor to the total OPEC unplanned crude oil production outages. During the fourth quarter of 2015 ...",,EIA: Iran drove unplanned OPEC production outage to highest levels since 2015,"[{'_type': 'Organization', 'name': 'World Oil', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_b158121b4796b1ce533943cbfc9f7e7d&pid=news'}}}]",https://www.worldoil.com/news/2019/7/18/eia-iran-drove-unplanned-opec-production-outage-to-highest-levels-since-2015
8,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/d5cbae7d-a1d2-cd04-70ed-1eb66f31f4c8', 'name': 'Dharmendra Pradhan'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/502b5268-992d-26c9-a0d8-6f206338406e', 'name': 'Iran'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/7804fb2e-ea6c-f934-6dc5-c5bc671e2ba2', 'name': 'The Times of India'}]",,2019-06-21T23:06:00.0000000Z,Two oil tankers near the strategic ... Strait of Hormuz leading to rising crude oil price. Reiterated the sensitivity of Indian consumers to prevailing oil price volatility. Sought active role of #SaudiArabia within OPEC & OPEC Plus for keeping oil prices ...,,Pradhan dials Saudi oil minister as crude spikes on Iran tension,"[{'_type': 'Organization', 'name': 'Indiatimes'}]",https://timesofindia.indiatimes.com/business/india-business/pradhan-dials-saudi-oil-minister-as-crude-spikes-on-iran-tension/articleshow/69897038.cms
9,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/79464325-4ebf-5477-3c6f-975a3cb4d4a4', 'name': 'Michael Bloomberg'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/24b2a17b-be8b-c0bd-4d2e-5343a4671a7d', 'name': 'Seeking Alpha'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/8b35efb3-b950-75ab-b92f-b74a9a3cec91', 'name': 'Petroleum'}]",,2019-07-13T10:03:00.0000000Z,The Brent-WTI spread edges lower after OPEC’s latest ... to underpin the price of crude oil is the growing tension in the Middle East. Iran has not taken economic sanctions without retaliation. Iran has attacked oil tankers over recent months.,,Crude Oil Crawls Higher - Don't Get Too Complacent,"[{'_type': 'Organization', 'name': 'Seeking Alpha'}]",https://seekingalpha.com/article/4274726-crude-oil-crawls-higher-get-complacent
